,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,3885.0,15605.0,2108.0,17980,18579,5050.0,0.0,0.0,0.0,0.0,63207.0
2,Madera ID,0.0,0,3725.0,16735.0,17562.0,"21,729","21,374",0.0,333.0,0.0,0.0,0.0,81458.0
3,Soquel (Madera non-proj.),6.0,7,6.0,6.0,6.0,8,7,7.0,6.0,6.0,6.0,3.0,74.0
4,Total,6.0,7,7616.0,32346.0,19676.0,39717,39960,5057.0,339.0,6.0,6.0,3.0,144739.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,1.0,1,1.0,2.0,2.0,3,3,4.0,3.0,1.0,2.0,1.0,24.0
7,Fresno County Wks #18,4.0,5,6.0,7.0,10.0,13,15,13.0,11.0,11.0,7.0,5.0,107.0
8,Gravelly Ford WD,0.0,0,23.0,1185.0,332.0,0,0,0.0,0.0,0.0,0.0,0.0,1540.0
9,,,.,,,,,,,,,,,
10,Total,5.0,6,30.0,1194.0,344.0,16,18,17.0,14.0,12.0,9.0,6.0,1671.0
